"id","date","state","city","department","victim_number","victim_weight","reported_pitbull","actual_breed","source","source2","source3","victim_name","officer_name","seizure","survival","children","hospitalization","hospitalization_police_injury","arrest","fine","uniform","warrant_or_pc","beware_of_dog","suspension","firing","lawsuit","criminal_charge"
1624,"2009-11-27","North Carolina","Fremont","Fremont Police Department",1,10,1,"Bulldog mix puppy 7 months old","http://www.wral.com/news/local/story/6504953/",,,"Diesel","Unknown K9 handler",2,0,1,0,0,2,2,"Not Sure",3,3,0,0,2,0
1625,"2010-09-13","North Carolina","Fayetteville","Fayetteville Police Department",1,2,1,"Unconfirmed","http://www.wral.com/dog-shot-after-attacking-fayetteville-officer/8283624/",,,"Unknown","Unknown",2,1,2,0,0,2,2,"Uniform",2,2,2,2,2,2
1626,"2007-09-03","North Carolina","Raleigh","Raleigh Police Department",1,2,1,"Unconfirmed","http://www.wral.com/news/local/story/1773607/",,,"Unknown","D.R. Osborne - shooter, R.A. Lee, J.F. Gheen - shooter",1,0,1,0,2,1,1,"Uniform",0,3,2,2,2,2
1627,"2010-01-05","North Carolina","Raleigh","Wake County Sheriffs Office, Wake County Animal Control",1,2,1,"unconfirmed, 3yo","http://www.wral.com/news/local/story/6772247/",,,"Boosie","Unknown",2,0,2,0,0,2,2,"Uniform",0,2,2,0,2,0
1628,"2007-01-09","North Carolina","Fayetteville","Cumberland Sheriffs Office, Cumberland County Animal Control",1,50,0,"German shepherd","http://www.wral.com/news/local/story/1178166/",,,"Catalina","Unknown",1,1,2,0,0,1,1,"Uniform",0,2,2,0,2,0
1629,"1999-06-04","North Carolina","Mebane","Mebane Police Department",3,2,0,"Unconfirmed","http://www.wral.com/news/local/story/143569/",,,"Unknown","Terrence Caldwell",2,2,1,0,1,2,2,"Uniform",2,3,2,0,2,0
1630,"2011-05-20","North Carolina","Raleigh","Wake County Sheriffs Office",1,50,0,"Boxer, 6yo","http://www.wral.com/news/local/story/9638947/",,,"Rocky","J. Collado",0,1,2,0,0,2,2,"Uniform",0,2,2,0,2,0
1631,"2013-08-20","North Carolina","Louisburg","Franklin County Animal Shelter",1,30,0,"Basset Hound","http://www.wral.com/franklin-shelter-director-shoots-injured-dog/12798058/",,,"Unknown","Taylor Bartholomew",1,0,0,0,0,3,3,"Not Sure",3,1,2,2,0,0
1632,"2007-01-04","North Carolina","Roanoke Rapids","Roanoke Rapids Police Department, Roanoke Rapids Animal Control",1,50,0,"Boxer, 14 months old","http://www.wral.com/news/local/story/1131509/",,,"Tito","Unknown",2,0,2,0,0,2,2,"Uniform",2,0,0,0,2,0
1633,"2007-10-28","North Carolina","Fayetteville","Dunn Police Department",1,2,0,"Unconfirmed","http://www.fayobserver.com/news/local/ex-dunn-officer-pleads-guilty/article_f1d6a05b-7fb2-52a3-bc5b-e9a27413ba83.html",,,"Unknown"," Patrick Edsel Cashwell",2,0,1,0,0,0,0,"Not Sure",0,2,1,1,2,1
1634,"2008-05-15","North Carolina","Wilmington","New Hanover County Sheriffs Office, New Hanover County Animal Control",1,2,1,"Unconfirmed","http://www.wwaytv3.com/pit_bull_bites_new_hanover_sheriffs_deputy/05/2008",,,"Joe","Unknown",1,0,2,1,0,1,1,"Uniform",2,2,2,2,2,0
